事件类型,事件时间,坐标,鼠标点击类型,鼠标点击按键,鼠标移动类型,键盘点击类型,键盘点击键,组件名,组件类型,组件附加信息
1,1679223378767
4,1679223390380,"(172,642)",,,1,,
4,1679223390824,"(570,153)",,,2,,
4,1679223394094,"(1143,197)",,,1,,
4,1679223394840,"(857,295)",,,2,,,MainWindow.centralwidget.pushButton,1,PushButton
3,1679223395096,"(857,295)",1,1,,,,MainWindow.centralwidget.pushButton,1,PushButton
4,1679223395232,"(858,295)",,,1,,,MainWindow.centralwidget.pushButton,1,PushButton
4,1679223395528,"(954,295)",,,2,,,MainWindow.centralwidget.toolButton,1,toolButton
3,1679223395704,"(954,295)",1,1,,,,MainWindow.centralwidget.toolButton,1,toolButton
4,1679223395776,"(955,295)",,,1,,,MainWindow.centralwidget.toolButton,1,toolButton
4,1679223396049,"(1115,299)",,,2,,,MainWindow.centralwidget.radioButton,1,RadioButton
3,1679223396191,"(1115,299)",1,1,,,,MainWindow.centralwidget.radioButton,1,RadioButton
4,1679223396272,"(1116,299)",,,1,,,MainWindow.centralwidget.radioButton,1,RadioButton
4,1679223396577,"(1231,295)",,,2,,,MainWindow.centralwidget.checkBox,1,CheckBox
3,1679223396712,"(1231,295)",1,1,,,,MainWindow.centralwidget.checkBox,1,CheckBox
4,1679223396792,"(1232,295)",,,1,,,MainWindow.centralwidget.checkBox,1,CheckBox
4,1679223396935,"(1239,323)",,,2,,,MainWindow.centralwidget.checkBox_2,1,CheckBox
3,1679223397120,"(1239,323)",1,1,,,,MainWindow.centralwidget.checkBox_2,1,CheckBox
4,1679223397200,"(1240,323)",,,1,,,MainWindow.centralwidget.checkBox_2,1,CheckBox
4,1679223397353,"(1257,322)",,,2,,,MainWindow.centralwidget.checkBox_2,1,CheckBox
4,1679223398088,"(1257,321)",,,1,,,MainWindow.centralwidget.checkBox_2,1,CheckBox
4,1679223398089,"(1257,321)",,,2,,,MainWindow.centralwidget.checkBox_2,1,CheckBox
4,1679223398776,"(1258,321)",,,1,,,MainWindow.centralwidget.checkBox_2,1,CheckBox
4,1679223399208,"(1446,310)",,,2,,,MainWindow.centralwidget.comboBox,2,1
3,1679223399344,"(1446,310)",1,1,,,,MainWindow.centralwidget.comboBox.<class_name=QComboBoxPrivateContainer>.<class_name=QComboBoxListView>.qt_scrollarea_viewport,9,1
4,1679223399344,"(1446,310)",,,1,,,MainWindow.centralwidget.comboBox.<class_name=QComboBoxPrivateContainer>.<class_name=QComboBoxListView>.qt_scrollarea_viewport,9,1
4,1679223399857,"(1449,328)",,,2,,,MainWindow.centralwidget.comboBox.<class_name=QComboBoxPrivateContainer>.<class_name=QComboBoxListView>.qt_scrollarea_viewport,9,2
3,1679223399983,"(1449,328)",1,1,,,,MainWindow.centralwidget.comboBox.<class_name=QComboBoxPrivateContainer>.<class_name=QComboBoxListView>.qt_scrollarea_viewport,9,2
4,1679223399988,"(1449,328)",,,1,,
4,1679223400400,"(1629,301)",,,2,,,MainWindow.centralwidget.fontComboBox.<class_name=QLineEdit>,3,Ubuntu
3,1679223400568,"(1629,301)",1,1,,,,MainWindow.centralwidget.fontComboBox.<class_name=QLineEdit>,3,Ubuntu
4,1679223400808,"(1630,302)",,,1,,,MainWindow.centralwidget.fontComboBox.<class_name=QLineEdit>,3,Ubuntu
4,1679223401309,"(1789,306)",,,2,,,MainWindow.centralwidget.fontComboBox,2,Ubuntu
3,1679223401487,"(1789,306)",1,1,,,,MainWindow.centralwidget.fontComboBox,2,Ubuntu
4,1679223401584,"(1788,306)",,,1,,,MainWindow.centralwidget.fontComboBox,2,Ubuntu
4,1679223401873,"(1697,360)",,,2,,,MainWindow.centralwidget.fontComboBox.<class_name=QComboBoxPrivateContainer>.<class_name=QComboBoxListView>.qt_scrollarea_viewport,9,Syamala Ramana
3,1679223402380,"(1697,360)",1,1,,,,MainWindow.centralwidget.fontComboBox.<class_name=QComboBoxPrivateContainer>.<class_name=QComboBoxListView>.qt_scrollarea_viewport,9,Syamala Ramana
4,1679223402385,"(1697,360)",,,1,,,"MainWindow.centralwidget.buttonBox.<class_name=QPushButton,1>",1,&Cancel
4,1679223403953,"(1694,358)",,,2,,,"MainWindow.centralwidget.buttonBox.<class_name=QPushButton,1>",1,&Cancel
3,1679223404103,"(1694,358)",1,1,,,,"MainWindow.centralwidget.buttonBox.<class_name=QPushButton,1>",1,&Cancel
4,1679223404680,"(1693,358)",,,1,,,"MainWindow.centralwidget.buttonBox.<class_name=QPushButton,1>",1,&Cancel
4,1679223405600,"(850,412)",,,2,,,MainWindow.centralwidget.label,3,TextLabel
3,1679223405792,"(850,412)",1,1,,,,MainWindow.centralwidget.label,3,TextLabel
4,1679223405896,"(855,412)",,,1,,,MainWindow.centralwidget.label,3,TextLabel
4,1679223406123,"(1023,410)",,,2,,,MainWindow.centralwidget.lineEdit,3,lineEdit
3,1679223406296,"(1023,410)",1,1,,,,MainWindow.centralwidget.lineEdit,3,lineEdit
4,1679223406423,"(1021,410)",,,1,,,MainWindow.centralwidget.lineEdit,3,lineEdit
4,1679223406579,"(955,419)",,,2,,,MainWindow.centralwidget.lineEdit,3,lineEdit
