事件类型,事件时间,坐标,鼠标点击类型,鼠标点击按键,鼠标移动类型,键盘点击类型,键盘点击键,组件名,组件类型,组件附加信息
1,1679225145146
4,1679225145916,"(119,970)",,,1,,
4,1679225146683,"(764,105)",,,2,,
4,1679225149291,"(1539,107)",,,1,,
4,1679225150170,"(978,900)",,,2,,
3,1679225150402,"(978,900)",1,1,,,
4,1679225151746,"(977,900)",,,1,,
3,1679225151787,"(977,900)",1,1,,,
4,1679225151747,"(977,900)",,,2,,
3,1679225153018,"(977,900)",1,1,,,
3,1679225153595,"(977,900)",1,1,,,
3,1679225154091,"(977,900)",1,1,,,
4,1679225155116,"(975,900)",,,1,,
4,1679225155907,"(916,865)",,,2,,
3,1679225156139,"(916,865)",1,1,,,
4,1679225156834,"(913,865)",,,1,,
4,1679225156860,"(910,871)",,,2,,
4,1679225158676,"(910,872)",,,1,,
4,1679225158868,"(877,904)",,,2,,
4,1679225244166,"(893,555)",,,1,,,MainWindow.centralwidget.calendarWidget.qt_calendar_calendarview.qt_scrollarea_viewport,6,周日 3月 19 2023
2,1679225245060
