事件类型,事件时间,坐标,鼠标点击类型,鼠标点击按键,鼠标移动类型,键盘点击类型,键盘点击键,组件名,组件类型,组件附加信息
1,1679293261030
4,1679293273895,"(126,712)",,,1,,,MainWindow.centralwidget.dockWidget,14,
4,1679293275703,"(691,630)",,,2,,,MainWindow.centralwidget.stackedWidget.page_4,14,page_4
3,1679293275929,"(691,630)",1,1,,,,MainWindow.centralwidget.stackedWidget.page_4,14,page_4
4,1679293275940,"(692,630)",,,1,,,MainWindow.centralwidget.stackedWidget.page_4,14,page_4
4,1679293276282,"(693,630)",,,2,,,MainWindow.centralwidget.stackedWidget.page_4,14,page_4
4,1679293277303,"(694,630)",,,1,,,MainWindow.centralwidget.stackedWidget.page_4,14,page_4
4,1679293277603,"(694,629)",,,2,,,MainWindow.centralwidget.stackedWidget.page_4,14,page_4
4,1679293278150,"(696,628)",,,1,,,MainWindow.centralwidget.stackedWidget.page_4,14,page_4
4,1679293279704,"(515,602)",,,2,,,MainWindow.centralwidget.tabWidget.qt_tabwidget_tabbar,14,Tab 1
3,1679293279875,"(515,602)",1,1,,,,MainWindow.centralwidget.tabWidget.qt_tabwidget_tabbar,14,Tab 2
4,1679293295914,"(513,602)",,,1,,,MainWindow.centralwidget.tabWidget.qt_tabwidget_tabbar,14,Tab 2
4,1679293296728,"(505,607)",,,2,,,MainWindow.centralwidget.tabWidget.qt_tabwidget_tabbar,14,Tab 2
4,1679293319171,"(506,607)",,,1,,,MainWindow.centralwidget.tabWidget.qt_tabwidget_tabbar,14,Tab 2
4,1679293321531,"(391,556)",,,2,,,MainWindow.centralwidget.calendarWidget.qt_calendar_calendarview.qt_scrollarea_viewport,6,周一 3月 20 2023
3,1679293321689,"(391,556)",1,1,,,,MainWindow.centralwidget.calendarWidget.qt_calendar_calendarview.qt_scrollarea_viewport,6,周一 3月 20 2023
4,1679293333918,"(390,556)",,,1,,,MainWindow.centralwidget.calendarWidget.qt_calendar_calendarview.qt_scrollarea_viewport,6,周一 3月 20 2023
4,1679293335035,"(175,207)",,,2,,,MainWindow.centralwidget.pushButton,1,PushButton
3,1679293335238,"(175,207)",1,1,,,,MainWindow.centralwidget.pushButton,1,PushButton
4,1679293338090,"(193,205)",,,1,,,MainWindow.centralwidget.pushButton,1,PushButton
4,1679293338629,"(277,205)",,,2,,,MainWindow.centralwidget.toolButton,1,toolButton
3,1679293338778,"(277,205)",1,1,,,,MainWindow.centralwidget.toolButton,1,toolButton
4,1679293338884,"(279,205)",,,1,,,MainWindow.centralwidget.toolButton,1,toolButton
4,1679293339800,"(437,206)",,,2,,,MainWindow.centralwidget.radioButton,1,RadioButton
3,1679293340023,"(437,206)",1,1,,,,MainWindow.centralwidget.radioButton,1,RadioButton
4,1679293341225,"(436,206)",,,1,,,MainWindow.centralwidget.radioButton,1,RadioButton
4,1679293341226,"(436,206)",,,2,,,MainWindow.centralwidget.radioButton,1,RadioButton
3,1679293341598,"(436,206)",1,1,,,,MainWindow.centralwidget.radioButton,1,RadioButton
4,1679293341654,"(437,206)",,,1,,,MainWindow.centralwidget.radioButton,1,RadioButton
4,1679293342045,"(568,198)",,,2,,,MainWindow.centralwidget.checkBox,1,CheckBox
3,1679293342153,"(568,198)",1,1,,,,MainWindow.centralwidget.checkBox,1,CheckBox
4,1679293342282,"(569,198)",,,1,,,MainWindow.centralwidget.checkBox,1,CheckBox
4,1679293342841,"(795,212)",,,2,,,MainWindow.centralwidget.comboBox,2,1
3,1679293343084,"(795,212)",1,1,,,,MainWindow.centralwidget.comboBox.<class_name=QComboBoxPrivateContainer>.<class_name=QComboBoxListView>.qt_scrollarea_viewport,9,1
4,1679293343085,"(795,212)",,,1,,,MainWindow.centralwidget.comboBox.<class_name=QComboBoxPrivateContainer>.<class_name=QComboBoxListView>.qt_scrollarea_viewport,9,1
4,1679293343086,"(795,212)",,,2,,,MainWindow.centralwidget.comboBox.<class_name=QComboBoxPrivateContainer>.<class_name=QComboBoxListView>.qt_scrollarea_viewport,9,1
4,1679293344226,"(795,213)",,,1,,,MainWindow.centralwidget.comboBox.<class_name=QComboBoxPrivateContainer>.<class_name=QComboBoxListView>.qt_scrollarea_viewport,9,1
4,1679293345343,"(787,249)",,,2,,,MainWindow.centralwidget.comboBox.<class_name=QComboBoxPrivateContainer>.<class_name=QComboBoxListView>.qt_scrollarea_viewport,9,2
3,1679293346032,"(787,249)",1,1,,,,MainWindow.centralwidget.comboBox.<class_name=QComboBoxPrivateContainer>.<class_name=QComboBoxListView>.qt_scrollarea_viewport,9,2
4,1679293346057,"(787,249)",,,1,,,MainWindow.centralwidget,14,
4,1679293346059,"(787,249)",,,2,,,MainWindow.centralwidget,14,
4,1679293346993,"(790,248)",,,1,,,MainWindow.centralwidget,14,
4,1679293347849,"(1066,230)",,,2,,,MainWindow.centralwidget.fontComboBox.<class_name=QLineEdit>,3,Ubuntu
4,1679293347914,"(1065,230)",,,1,,,MainWindow.centralwidget.fontComboBox.<class_name=QLineEdit>,3,Ubuntu
3,1679293347990,"(1065,230)",1,1,,,,MainWindow.centralwidget.fontComboBox.<class_name=QLineEdit>,3,Ubuntu
4,1679293348974,"(1087,218)",,,2,,,MainWindow.centralwidget.fontComboBox,2,Ubuntu
3,1679293350134,"(1087,218)",1,1,,,,MainWindow.centralwidget.fontComboBox,2,Ubuntu
4,1679293350317,"(1088,218)",,,1,,,MainWindow.centralwidget.fontComboBox,2,Ubuntu
4,1679293351284,"(1053,262)",,,2,,,MainWindow.centralwidget.fontComboBox.<class_name=QComboBoxPrivateContainer>.<class_name=QComboBoxListView>.qt_scrollarea_viewport,9,Syamala Ramana
4,1679293351547,"(1053,263)",,,1,,,MainWindow.centralwidget.fontComboBox.<class_name=QComboBoxPrivateContainer>.<class_name=QComboBoxListView>.qt_scrollarea_viewport,9,Syamala Ramana
3,1679293351607,"(1053,263)",1,1,,,,MainWindow.centralwidget.fontComboBox.<class_name=QComboBoxPrivateContainer>.<class_name=QComboBoxListView>.qt_scrollarea_viewport,9,Syamala Ramana
4,1679293352583,"(1021,266)",,,2,,,"MainWindow.centralwidget.buttonBox.<class_name=QPushButton,1>",1,&Cancel
3,1679293352836,"(1021,266)",1,1,,,,"MainWindow.centralwidget.buttonBox.<class_name=QPushButton,1>",1,&Cancel
4,1679293353859,"(1020,267)",,,1,,,"MainWindow.centralwidget.buttonBox.<class_name=QPushButton,1>",1,&Cancel
4,1679293355321,"(874,268)",,,2,,,MainWindow.centralwidget.keySequenceEdit.qt_keysequenceedit_lineedit,3,
3,1679293356106,"(874,268)",1,1,,,,MainWindow.centralwidget.keySequenceEdit.qt_keysequenceedit_lineedit,3,
4,1679293372126,"(873,268)",,,1,,,MainWindow.centralwidget.keySequenceEdit.qt_keysequenceedit_lineedit,3,
4,1679293372934,"(327,336)",,,2,,,MainWindow.centralwidget.lineEdit,3,lineEdit
3,1679293373255,"(327,336)",1,1,,,,MainWindow.centralwidget.lineEdit,3,lineEdit
4,1679293373985,"(325,336)",,,1,,,MainWindow.centralwidget.lineEdit,3,lineEdit
4,1679293373986,"(325,336)",,,2,,,MainWindow.centralwidget.lineEdit,3,lineEdit
4,1679293379489,"(327,336)",,,1,,,MainWindow.centralwidget.lineEdit,3,lineEdit
4,1679293380360,"(843,269)",,,2,,,MainWindow.centralwidget.keySequenceEdit.qt_keysequenceedit_lineedit,3,
4,1679293380436,"(844,269)",,,1,,,MainWindow.centralwidget.keySequenceEdit.qt_keysequenceedit_lineedit,3,
3,1679293380486,"(844,269)",1,1,,,,MainWindow.centralwidget.keySequenceEdit.qt_keysequenceedit_lineedit,3,
4,1679293381343,"(849,275)",,,2,,,MainWindow.centralwidget.keySequenceEdit.qt_keysequenceedit_lineedit,3,
4,1679293381455,"(850,275)",,,1,,,MainWindow.centralwidget.keySequenceEdit.qt_keysequenceedit_lineedit,3,
4,1679293381546,"(851,275)",,,2,,,MainWindow.centralwidget.keySequenceEdit.qt_keysequenceedit_lineedit,3,
5,1679293381614,"(851,275)",,,,2,"Ctrl+, A",MainWindow.centralwidget.keySequenceEdit.qt_keysequenceedit_lineedit,3,
4,1679293381625,"(852,275)",,,1,,,MainWindow.centralwidget.keySequenceEdit.qt_keysequenceedit_lineedit,3,"Ctrl+A, ..."
4,1679293383000,"(857,297)",,,2,,,MainWindow.centralwidget,14,
3,1679293383097,"(857,297)",1,1,,,,MainWindow.centralwidget,14,
4,1679293383247,"(857,298)",,,1,,,MainWindow.centralwidget,14,
4,1679293384584,"(860,312)",,,2,,,MainWindow.centralwidget,14,
4,1679293388085,"(859,312)",,,1,,,MainWindow.centralwidget,14,
4,1679293389106,"(865,321)",,,2,,,MainWindow.centralwidget.doubleSpinBox.qt_spinbox_lineedit,3,第0.00秒
4,1679293390944,"(865,322)",,,1,,,MainWindow.centralwidget.doubleSpinBox.qt_spinbox_lineedit,3,第0.00秒
4,1679293392384,"(413,331)",,,2,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
3,1679293392519,"(413,331)",1,1,,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
4,1679293392639,"(413,330)",,,1,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
4,1679293393668,"(426,301)",,,2,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
4,1679293393779,"(426,300)",,,1,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
3,1679293393824,"(426,300)",1,1,,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
4,1679293393780,"(426,300)",,,2,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
4,1679293394500,"(426,301)",,,1,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
4,1679293394500,"(426,301)",,,2,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
4,1679293396119,"(426,302)",,,1,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
4,1679293396791,"(312,332)",,,2,,,MainWindow.centralwidget.lineEdit,3,lineEdit
3,1679293396937,"(312,332)",1,1,,,,MainWindow.centralwidget.lineEdit,3,lineEdit
4,1679293397725,"(312,331)",,,1,,,MainWindow.centralwidget.lineEdit,3,lineEdit
4,1679293397726,"(312,331)",,,2,,,MainWindow.centralwidget.lineEdit,3,lineEdit
4,1679293400107,"(312,330)",,,1,,,MainWindow.centralwidget.lineEdit,3,lineEdit
4,1679293400523,"(437,314)",,,2,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
3,1679293400649,"(437,314)",1,1,,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
4,1679293400718,"(439,314)",,,1,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
4,1679293401610,"(444,318)",,,2,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
3,1679293407805,"(444,318)",1,1,,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
3,1679293408585,"(444,318)",1,1,,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
3,1679293409186,"(444,318)",1,1,,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
3,1679293410048,"(444,318)",1,1,,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
4,1679293420335,"(446,318)",,,1,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
4,1679293420633,"(449,294)",,,2,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
4,1679293420852,"(449,293)",,,1,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
3,1679293420854,"(449,293)",1,1,,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
4,1679293421098,"(449,268)",,,2,,,MainWindow.centralwidget,14,
4,1679293421174,"(448,267)",,,1,,,MainWindow.centralwidget,14,
3,1679293421185,"(448,267)",1,1,,,,MainWindow.centralwidget,14,
4,1679293423618,"(426,270)",,,2,,,MainWindow.centralwidget,14,
3,1679293423693,"(426,270)",1,1,,,,MainWindow.centralwidget,14,
4,1679293423814,"(425,270)",,,1,,,MainWindow.centralwidget,14,
4,1679293424654,"(423,297)",,,2,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
3,1679293424782,"(423,297)",1,1,,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
4,1679293425396,"(423,296)",,,1,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
4,1679293425738,"(427,296)",,,2,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
3,1679293425823,"(427,296)",1,1,,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
4,1679293425884,"(428,296)",,,1,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
4,1679293426153,"(448,304)",,,2,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
3,1679293426229,"(448,304)",1,1,,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
4,1679293426281,"(448,305)",,,1,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
4,1679293426401,"(451,329)",,,2,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
3,1679293426520,"(451,329)",1,1,,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
4,1679293426544,"(451,330)",,,1,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
4,1679293426646,"(433,357)",,,2,,,MainWindow.centralwidget.textEdit,3,textEdit
4,1679293426695,"(432,358)",,,1,,,MainWindow.centralwidget,14,
3,1679293426731,"(432,358)",1,1,,,,MainWindow.centralwidget,14,
4,1679293426723,"(432,358)",,,2,,,MainWindow.centralwidget,14,
3,1679293426876,"(432,358)",2,1,,,,MainWindow.centralwidget,14,
3,1679293426947,"(432,358)",1,1,,,,MainWindow.centralwidget,14,
4,1679293426981,"(434,357)",,,1,,,MainWindow.centralwidget.textEdit,3,textEdit
4,1679293427474,"(465,356)",,,2,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
4,1679293443380,"(464,356)",,,1,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
4,1679293444410,"(311,329)",,,2,,,MainWindow.centralwidget.lineEdit,3,lineEdit
3,1679293444695,"(311,329)",1,1,,,,MainWindow.centralwidget.lineEdit,3,lineEdit
4,1679293449498,"(311,328)",,,1,,,MainWindow.centralwidget.lineEdit,3,lineEdit
4,1679293450241,"(448,326)",,,2,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
3,1679293450470,"(448,326)",1,1,,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
4,1679293458326,"(448,325)",,,1,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
4,1679293458549,"(484,304)",,,2,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
3,1679293458785,"(484,304)",1,1,,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
4,1679293458892,"(483,304)",,,1,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
4,1679293459060,"(450,303)",,,2,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
3,1679293459239,"(450,303)",1,1,,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
4,1679293468550,"(451,303)",,,1,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
4,1679293469867,"(513,350)",,,2,,,MainWindow.centralwidget.plainTextEdit.qt_scrollarea_viewport,14,
4,1679293470497,"(515,350)",,,1,,,MainWindow.centralwidget.plainTextEdit.qt_scrollarea_viewport,14,
4,1679293470954,"(552,300)",,,2,,,MainWindow.centralwidget.plainTextEdit.qt_scrollarea_viewport,14,
3,1679293471066,"(552,300)",1,1,,,,MainWindow.centralwidget.plainTextEdit.qt_scrollarea_viewport,14,
4,1679293471561,"(552,301)",,,1,,,MainWindow.centralwidget.plainTextEdit.qt_scrollarea_viewport,14,
4,1679293472238,"(558,325)",,,2,,,MainWindow.centralwidget.plainTextEdit.qt_scrollarea_viewport,14,
3,1679293472318,"(558,325)",1,1,,,,MainWindow.centralwidget.plainTextEdit.qt_scrollarea_viewport,14,
4,1679293473229,"(557,325)",,,1,,,MainWindow.centralwidget.plainTextEdit.qt_scrollarea_viewport,14,
4,1679293473887,"(409,302)",,,2,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
3,1679293474008,"(409,302)",1,1,,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
4,1679293474179,"(411,302)",,,1,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
4,1679293474294,"(413,302)",,,2,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
3,1679293485413,"(413,302)",1,1,,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
4,1679293485541,"(415,295)",,,1,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
4,1679293486305,"(435,337)",,,2,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
3,1679293486537,"(435,337)",1,1,,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
4,1679293486680,"(435,338)",,,1,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
4,1679293486912,"(441,353)",,,2,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
3,1679293487009,"(441,353)",1,1,,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
4,1679293487094,"(441,354)",,,1,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
4,1679293487306,"(446,365)",,,2,,,MainWindow.centralwidget,14,
3,1679293487414,"(446,365)",1,1,,,,MainWindow.centralwidget,14,
4,1679293487482,"(446,366)",,,1,,,MainWindow.centralwidget,14,
4,1679293487694,"(448,371)",,,2,,,MainWindow.centralwidget,14,
3,1679293488592,"(448,371)",1,1,,,,MainWindow.centralwidget,14,
4,1679293488867,"(448,368)",,,1,,,MainWindow.centralwidget,14,
4,1679293489021,"(448,345)",,,2,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
3,1679293489109,"(448,345)",1,1,,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
4,1679293489193,"(448,344)",,,1,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
4,1679293489425,"(448,328)",,,2,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
4,1679293490317,"(448,326)",,,1,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
4,1679293490445,"(453,316)",,,2,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
3,1679293490534,"(453,316)",1,1,,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
4,1679293490734,"(453,315)",,,1,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
4,1679293490970,"(456,295)",,,2,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
3,1679293491119,"(456,295)",1,1,,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
4,1679293491315,"(456,294)",,,1,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
4,1679293491465,"(456,284)",,,2,,,MainWindow.centralwidget,14,
3,1679293491585,"(456,284)",1,1,,,,MainWindow.centralwidget,14,
4,1679293492253,"(455,284)",,,1,,,MainWindow.centralwidget,14,
4,1679293492366,"(449,286)",,,2,,,MainWindow.centralwidget,14,
3,1679293492454,"(449,286)",1,1,,,,MainWindow.centralwidget,14,
4,1679293492597,"(448,286)",,,1,,,MainWindow.centralwidget,14,
4,1679293493865,"(415,294)",,,2,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
3,1679293493999,"(415,294)",1,1,,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
4,1679293494367,"(414,294)",,,1,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
4,1679293494900,"(415,298)",,,2,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
3,1679293495003,"(415,298)",1,1,,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
4,1679293495245,"(414,298)",,,1,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
4,1679293495448,"(405,300)",,,2,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
3,1679293495582,"(405,300)",1,1,,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
4,1679293495859,"(404,300)",,,1,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
4,1679293496159,"(413,255)",,,2,,,MainWindow.centralwidget,14,
3,1679293496248,"(413,255)",1,1,,,,MainWindow.centralwidget,14,
4,1679293496354,"(413,254)",,,1,,,MainWindow.centralwidget,14,
4,1679293498598,"(422,267)",,,2,,,MainWindow.centralwidget,14,
4,1679293499429,"(422,268)",,,1,,,MainWindow.centralwidget,14,
4,1679293502339,"(432,265)",,,2,,,MainWindow.centralwidget,14,
4,1679293502435,"(432,263)",,,1,,,MainWindow.centralwidget,14,
3,1679293502461,"(432,263)",1,1,,,,MainWindow.centralwidget,14,
4,1679293503922,"(336,273)",,,2,,,MainWindow.centralwidget,14,
3,1679293504176,"(336,273)",1,1,,,,MainWindow.centralwidget,14,
4,1679293504301,"(337,273)",,,1,,,MainWindow.centralwidget,14,
4,1679293505114,"(432,295)",,,2,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
3,1679293505241,"(432,295)",1,1,,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
4,1679293505751,"(430,295)",,,1,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
4,1679293506054,"(427,291)",,,2,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
4,1679293506104,"(426,291)",,,1,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
3,1679293506117,"(426,291)",1,1,,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
4,1679293506622,"(408,258)",,,2,,,MainWindow.centralwidget,14,
3,1679293506681,"(408,258)",1,1,,,,MainWindow.centralwidget,14,
4,1679293506765,"(408,259)",,,1,,,MainWindow.centralwidget,14,
4,1679293506955,"(413,294)",,,2,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
3,1679293507063,"(413,294)",1,1,,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
4,1679293507207,"(414,293)",,,1,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
4,1679293507499,"(425,267)",,,2,,,MainWindow.centralwidget,14,
3,1679293507873,"(425,267)",1,1,,,,MainWindow.centralwidget,14,
4,1679293508028,"(425,268)",,,1,,,MainWindow.centralwidget,14,
4,1679293508151,"(425,304)",,,2,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
4,1679293508226,"(425,305)",,,1,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
3,1679293508278,"(425,305)",1,1,,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
4,1679293508781,"(419,270)",,,2,,,MainWindow.centralwidget,14,
3,1679293508885,"(419,270)",1,1,,,,MainWindow.centralwidget,14,
4,1679293509178,"(419,274)",,,1,,,MainWindow.centralwidget,14,
4,1679293509339,"(420,314)",,,2,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
4,1679293509365,"(420,315)",,,1,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
3,1679293509434,"(420,315)",1,1,,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
4,1679293509766,"(414,270)",,,2,,,MainWindow.centralwidget,14,
3,1679293509928,"(414,270)",1,1,,,,MainWindow.centralwidget,14,
4,1679293510021,"(414,274)",,,1,,,MainWindow.centralwidget,14,
4,1679293510150,"(420,319)",,,2,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
4,1679293510169,"(420,321)",,,1,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
