事件类型,事件时间,坐标,鼠标点击类型,鼠标点击按键,鼠标移动类型,键盘点击类型,键盘点击键,组件名,组件类型,组件附加信息
3,1679293510244,"(421,323)",1,1,,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
4,1679293510483,"(415,279)",,,2,,,MainWindow.centralwidget,14,
3,1679293510580,"(415,279)",1,1,,,,MainWindow.centralwidget,14,
4,1679293510667,"(415,281)",,,1,,,MainWindow.centralwidget,14,
4,1679293510778,"(423,332)",,,2,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
3,1679293510903,"(423,332)",1,1,,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
4,1679293510956,"(422,330)",,,1,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
4,1679293511092,"(416,296)",,,2,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
3,1679293511180,"(416,296)",1,1,,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
4,1679293511271,"(418,304)",,,1,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
4,1679293511379,"(422,333)",,,2,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
4,1679293511412,"(422,335)",,,1,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
3,1679293511482,"(423,335)",1,1,,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
4,1679293512226,"(300,331)",,,2,,,MainWindow.centralwidget.lineEdit,3,lineEdit
4,1679293512318,"(300,330)",,,1,,,MainWindow.centralwidget.lineEdit,3,lineEdit
3,1679293512355,"(300,330)",1,1,,,,MainWindow.centralwidget.lineEdit,3,lineEdit
4,1679293512885,"(315,274)",,,2,,,MainWindow.centralwidget,14,
3,1679293513100,"(315,274)",1,1,,,,MainWindow.centralwidget,14,
4,1679293513169,"(312,274)",,,1,,,MainWindow.centralwidget,14,
4,1679293514039,"(167,321)",,,2,,,MainWindow.centralwidget.label,3,TextLabel
3,1679293514337,"(167,321)",1,1,,,,MainWindow.centralwidget.label,3,TextLabel
4,1679293514984,"(167,322)",,,1,,,MainWindow.centralwidget.label,3,TextLabel
4,1679293515090,"(167,326)",,,2,,,MainWindow.centralwidget.label,3,TextLabel
3,1679293515170,"(167,326)",1,1,,,,MainWindow.centralwidget.label,3,TextLabel
3,1679293515410,"(167,326)",2,1,,,,MainWindow.centralwidget.label,3,TextLabel
3,1679293515492,"(167,326)",1,1,,,,MainWindow.centralwidget.label,3,TextLabel
3,1679293515658,"(167,326)",1,1,,,,MainWindow.centralwidget.label,3,TextLabel
4,1679293515959,"(168,326)",,,1,,,MainWindow.centralwidget.label,3,TextLabel
4,1679293517939,"(449,594)",,,2,,,MainWindow.centralwidget.tabWidget.qt_tabwidget_tabbar,14,Tab 2
4,1679293518032,"(449,595)",,,1,,,MainWindow.centralwidget.tabWidget.qt_tabwidget_tabbar,14,Tab 1
3,1679293518096,"(449,595)",1,1,,,,MainWindow.centralwidget.tabWidget.qt_tabwidget_tabbar,14,Tab 1
4,1679293518507,"(504,591)",,,2,,,MainWindow.centralwidget.tabWidget.qt_tabwidget_tabbar,14,Tab 1
3,1679293518612,"(504,591)",1,1,,,,MainWindow.centralwidget.tabWidget.qt_tabwidget_tabbar,14,Tab 2
4,1679293518809,"(504,593)",,,1,,,MainWindow.centralwidget.tabWidget.qt_tabwidget_tabbar,14,Tab 2
4,1679293519327,"(334,609)",,,2,,,MainWindow.centralwidget.toolBox.qt_toolbox_toolboxbutton,1,Page 1
