事件类型,事件时间,坐标,鼠标点击类型,鼠标点击按键,鼠标移动类型,键盘点击类型,键盘点击键,组件名,组件类型,组件附加信息
1,1679225408911
4,1679225409078,"(501,977)",,,1,,,MainWindow.centralwidget,-1,
4,1679225410164,"(701,102)",,,2,,,MainWindow.menubar,-1,
4,1679225413025,"(1355,65)",,,1,,,MainWindow.menubar,-1,
4,1679225413402,"(1433,65)",,,2,,,MainWindow.menubar,-1,
4,1679225413981,"(1446,64)",,,1,,,MainWindow.menubar,-1,
4,1679225414732,"(1114,840)",,,2,,,MainWindow.statusbar,-1,
4,1679225416110,"(1067,838)",,,1,,,MainWindow.statusbar,-1,
4,1679225416396,"(1062,500)",,,2,,,MainWindow.centralwidget,-1,
3,1679225416659,"(1062,500)",1,1,,,,MainWindow.centralwidget,-1,
4,1679225417390,"(1063,501)",,,1,,,MainWindow.centralwidget,-1,
4,1679225417420,"(1066,507)",,,2,,,MainWindow.centralwidget,-1,
3,1679225417579,"(1066,507)",1,1,,,,MainWindow.centralwidget,-1,
3,1679225418412,"(1066,507)",1,1,,,,MainWindow.centralwidget,-1,
4,1679225418573,"(1066,505)",,,1,,,MainWindow.centralwidget,-1,
4,1679225419013,"(971,219)",,,2,,,MainWindow.centralwidget,-1,
3,1679225419115,"(971,219)",1,1,,,,MainWindow.centralwidget,-1,
4,1679225419620,"(971,218)",,,1,,,MainWindow.centralwidget,-1,
4,1679225419953,"(941,69)",,,2,,,MainWindow.menubar,-1,
3,1679225420059,"(941,69)",1,1,,,,MainWindow.menubar,-1,
4,1679225420204,"(940,69)",,,1,,,MainWindow.menubar,-1,
4,1679225420740,"(787,76)",,,2,,,MainWindow.menubar,-1,
3,1679225420899,"(787,76)",1,1,,,,MainWindow.menubar,-1,
4,1679225421740,"(788,76)",,,1,,,MainWindow.menubar,-1,
4,1679225421869,"(803,94)",,,2,,,MainWindow.menubar.menu_2.action_2,13,帮助
