事件类型,事件时间,坐标,鼠标点击类型,鼠标点击按键,鼠标移动类型,键盘点击类型,键盘点击键,组件名,组件类型,组件附加信息
1,1679275411562
4,1679275412363,"(406,791)",,,1,,,MainWindow.statusbar,14,
4,1679275413273,"(423,343)",,,2,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
3,1679275413409,"(423,343)",1,1,,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
5,1679275414474,"(423,343)",,,,1,D,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
5,1679275414641,"(423,343)",,,,1,A,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
5,1679275414665,"(423,343)",,,,1,S,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
5,1679275414755,"(423,343)",,,,1,D,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
5,1679275414901,"(423,343)",,,,1,A,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
5,1679275414927,"(423,343)",,,,1,S,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
5,1679275415009,"(423,343)",,,,1,D,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
5,1679275415127,"(423,343)",,,,1,S,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
5,1679275415154,"(423,343)",,,,1,A,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
5,1679275415229,"(423,343)",,,,1,D,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
5,1679275417509,"(423,343)",,,,1,D,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
5,1679275417617,"(423,343)",,,,1,A,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
5,1679275417632,"(423,343)",,,,1,S,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
5,1679275417732,"(423,343)",,,,1,D,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
5,1679275418323,"(423,343)",,,,1,Return,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
5,1679275419074,"(423,343)",,,,2,"Shift+, D",MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
5,1679275419861,"(423,343)",,,,2,"Shift+, D",MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
5,1679275421236,"(423,343)",,,,2,"Ctrl+, C",MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
5,1679275421785,"(423,343)",,,,2,"Ctrl+, V",MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
4,1679275422347,"(424,341)",,,1,,,MainWindow.centralwidget.textEdit.qt_scrollarea_viewport,14,
2,1679275423901
